id_drive,id,nombre,categoria,subsistema,referencia_comercial,fuente_geometria,estado_cotas,dimensiones_mm,fuente_cotas,uds,masa_g,estado_masa,colocado,zona,centro_mm,conectores,keep_outs,que_falta,pedir_a
,propulsion,Modulo de propulsion (opcional),plataforma,propulsion,,sin geometria,TBD,,,1,,TBD,no,,,,,Modelo de propulsor y sus dimensiones,ACSAR (decision de mision aun abierta)
OPT-13,telescopio_cassegrain,"Telescopio Cassegrain on-axis, apertura 90 mm",payload_optico,terminal_optico,"Aperture Optical Sciences, Cassegrain a medida, apertura 90 mm",aproximado propio: cassegrain (esperando STEP),supuesto,95.4 x 95.4 x 227.0,"COTA SUPERIOR, no una medida. Es la ENVOLVENTE que el telescopio reserva, y lo que usan el analisis de volumen y el de interferencias: el modelo detallado es hueco por dentro, y meter ese hueco en el analisis diria que dentro del tubo cabe algo, que es falso. El lado de la seccion es la altura inter",1,,TBD,si,z_payload_telescopio,"36.9, 0.0, 67.2",,,"Diametro exterior del barrilete y longitud optica real. YA EXISTE un concepto en formato nativo SolidWorks (Telescopio_concepto.SLDPRT, entrega ""Preliminar viability model"" del 2026-09-20), ilegible. Hace falta reexportarlo a STEP AP214 o AP242 y dejarlo en la ruta de 'step_esperado'. Ver cad/vendor",Oscar (ACSAR) / Aperture Optical Sciences
OPT-10,fsm,Espejo de apuntado fino (FSM) - opcion MEMS,payload_optico,terminal_optico,"Mirrorcle Technologies, MEMS de dos ejes en encapsulado DIP24",aproximado propio: caja,referencia,30.5 x 15.1 x 2.16,https://mirrorcletech.com/pdf/Mirrorcle_MEMS_Packages_and_Mounts_Guide.pdf,1,,TBD,si,z_payload_banco,"36.9, 0.0, -73.8",,,,
OPT-10-ALT,fsm_piezo_pi_s331,"FSM - alternativa piezo PI S-331 (no va a bordo, esta en estudio)",payload_optico,terminal_optico,Physik Instrumente S-331.2SB (plataforma piezo tip/tilt),aproximado propio: cilindro,supuesto,50.0 x 50.0 x 22.0,"SUPUESTO. PI publica la masa del S-331 y sus datos mecanicos, pero sus cotas exteriores estan solo en el plano del manual (figura, sin texto extraible). Las de aqui son una reserva del orden correcto para una plataforma tip/tilt de flexion que monta un espejo de 12.7 mm. Lo que SI es dato y esta aba",1,130.0,confirmado,no,,,,,Cotas exteriores del S-331 (plano acotado o STEP),Physik Instrumente
OPT-09,dicroico_d1,Dicroico D1 (separacion canal cuantico / beacons),payload_optico,terminal_optico,,aproximado propio: caja,supuesto,16.0 x 16.0 x 16.0,"SUPUESTO. Reserva cubica para el SOPORTE de D1, con el sustrato a 45 grados por dentro. La envolvente va alineada con los ejes porque lo que ocupa es la celda, no el sustrato. BAJADA DE 23 A 16 mm el 2026-09-21 [DECISION ACSAR], al fijar la familia de opticas del banco en Ø12.7 mm (media pulgada). E",1,,TBD,si,z_payload_banco,"61.4, 0.0, -73.8",,,"Divisor y montura elegidos, con su apertura libre, sus longitudes de onda de corte y la envolvente real del soporte",Equipo de optica de ACSAR
OPT-15,dicroico_d2,Dicroico D2 (separacion beacon de subida / beacon de bajada),payload_optico,terminal_optico,,aproximado propio: caja,supuesto,16.0 x 16.0 x 16.0,"SUPUESTO. Misma reserva cubica que 'dicroico_d1' y por el mismo motivo: lo que ocupa es la celda con el sustrato a 45 grados por dentro, no el sustrato. Bajada de 23 a 16 mm el 2026-09-21 [DECISION ACSAR] al fijar la familia Ø12.7 para las tres piezas planas del banco; el razonamiento entero esta en",1,,TBD,si,z_payload_banco,"61.4, 21.0, -73.8",,,"Divisor y montura elegidos, con su apertura libre, su longitud de onda de corte y la envolvente real del soporte",Equipo de optica de ACSAR
OPT-11,camara_beacon,Camara / sensor de beacon de subida (medida del error de apuntado),payload_optico,terminal_optico,,aproximado propio: caja,supuesto,30.0 x 26.0 x 26.0,"SUPUESTO. Reserva para un sensor pequeno con objetivo corto a 976 nm, INCLUIDO EL FILTRO DE BANDA ESTRECHA que va delante: el filtro no es un cuerpo aparte del catalogo, va dentro de esta reserva, porque modelarlo suelto anade una pieza mas a la fila del brazo. RECUPERADA A UNA RESERVA REALISTA el 2",1,,TBD,si,z_payload_banco,"33.4, 21.0, -73.8",,,"Modelo de sensor, distancia focal del objetivo, campo de vision exigido por el lazo de apuntado y espesor del filtro de banda estrecha de 976 nm",Equipo de PAT de ACSAR
OPT-12,laser_beacon_bajada,"Modulo laser de beacon de bajada (1064 nm), fiberizado",payload_bandeja,bandeja_optica,,aproximado propio: caja,supuesto,40.0 x 20.0 x 15.0,"SUPUESTO. Reserva para un modulo de diodo laser de 1064 nm con salida FIBERIZADA, del orden del butterfly de 14 pines del DFB (37.4 x 12.7 x 7.8) mas su interfaz termica: 40 x 20 x 15 mm. Ya NO incluye ni la optica de colimacion ni el camino en espacio libre -- eso es 'colimador_beacon_bajada' --, y",1,,TBD,si,z_payload_bandeja,"84.8, -37.2, -153.1",,fibra_laser_beacon_bajada_salida,"Modelo del modulo elegido, potencia optica real, consumo electrico y su interfaz termica contra la bandeja",Equipo de PAT de ACSAR
OPT-20,colimador_beacon_bajada,Colimador de fibra del beacon de bajada (1064 nm),payload_optico,terminal_optico,,aproximado propio: cilindro,supuesto,8.0 x 12.0 x 8.0,"SUPUESTO. Reserva para un colimador de fibra compacto: barrilete cilindrico de 8 mm de diametro y 12 mm de largo, con la fibra entrando por la cara opuesta al haz. Referencia de que esa envolvente existe: OZ Optics LPC-04, cuya carcasa es de Ø8. NO es una eleccion, es la comprobacion de que un colim",1,,TBD,si,z_payload_banco,"61.4, 40.0, -73.8",,fibra_colimador_beacon_bajada_entrada,"Colimador elegido, su envolvente real y el diametro de haz que entrega, que es lo que tiene que cuadrar con la apertura de D2",Equipo de PAT / de optica de ACSAR
OPT-16,fotodiodo_monitor_beacon,Fotodiodo de monitorizacion de potencia del beacon de bajada,payload_optico,terminal_optico,,aproximado propio: caja,supuesto,12.0 x 12.0 x 12.0,"SUPUESTO. Reserva para un fotodiodo en encapsulado TO con su soporte y una lente de concentracion. Un cubo de 12 mm es el orden de magnitud; NO es ningun producto. Al ir en un puerto de fuga no le hacen falta ni apertura grande ni alineacion fina, asi que es la pieza del brazo cuya cota menos puede ",1,,TBD,si,z_payload_banco,"80.4, 21.0, -73.8",,,"Modelo de fotodiodo, encapsulado y electronica de acondicionamiento",Equipo de PAT de ACSAR
OPT-17,trampa_luz_d1,Trampa de luz del cuarto puerto de D1,payload_optico,terminal_optico,,aproximado propio: caja,supuesto,15.0 x 15.0 x 15.0,SUPUESTO. Reserva para un absorbedor de haz de banco: cavidad o cono negro con su soporte. Un cubo de 15 mm es el orden de magnitud de una trampa para un haz colimado de pocos milimetros y potencias de microvatios; NO es ningun producto. La cota real depende del angulo de aceptacion que haga falta p,1,,TBD,si,z_payload_banco,"61.4, -20.5, -73.8",,,"Tipo de absorbedor, su envolvente y el rechazo exigido",Equipo de optica de ACSAR
OPT-18,trampa_luz_d2,Trampa de luz del cuarto puerto de D2 (alternativa al fotodiodo),payload_optico,terminal_optico,,aproximado propio: caja,supuesto,15.0 x 15.0 x 15.0,SUPUESTO. Misma reserva que 'trampa_luz_d1' y por el mismo motivo.,1,,TBD,no,,,,,"Tipo de absorbedor, su envolvente y el rechazo exigido",Equipo de optica de ACSAR
OPT-19,espejo_plegado_cuantico,Espejo de plegado del canal cuantico (plano metalico a 45 grados),payload_optico,terminal_optico,,aproximado propio: caja,supuesto,16.0 x 16.0 x 16.0,"SUPUESTO, y ACOTADO POR LOS DOS LADOS. Por abajo lo acota EL HAZ: un haz de d mm que incide a 45 grados deja una huella de d x d*raiz(2) sobre el espejo -- el mismo razonamiento que decide si el MEMS del FSM vale, ver CLAUDE.md 4.7(c) --, asi que con el diametro de haz modelado ('integracion.optica.",1,,TBD,si,z_payload_banco,"95.5, 0.0, -73.8",,,"Espejo y montura elegidos, con su apertura libre y la envolvente real del soporte",Equipo de optica de ACSAR
OPT-08,colimador,Colimador fibra a espacio libre,payload_optico,terminal_optico,,aproximado propio: cilindro,supuesto,28.0 x 12.0 x 12.0,"SUPUESTO. Reserva para un colimador de fibra de banco: barrilete cilindrico de unos 12 mm de diametro. NO es ningun producto. El diametro del barrilete lo fija el del haz colimado, que es TBD, asi que esta cifra se movera con el. ACOTADA POR ARRIBA POR EL BANCO, ademas: el FSM tiene que estar sobre ",1,,TBD,si,z_payload_franja,"95.5, 0.0, -32.3",,fibra_colimador_beacon_bajada_entrada,Diametro del haz colimado y modelo de colimador. Es el mismo dato que bloquea los keep-outs del camino optico.,Equipo de optica de ACSAR
OPT-14,bandeja_optica,"Bandeja optica (placa mecanica, no PCB)",payload_bandeja,bandeja_optica,,aproximado propio: caja,supuesto,117.7 x 3.0 x 75.4,"EL CONTORNO NO SE ELIGE: es la zona z_payload_bandeja menos 'integracion.bandeja.holgura_montaje' (2 mm) por lado, en X y en Z. Con la longitud del telescopio en 227 mm esa zona mide 121.7 x 79.4, asi que la placa mide 117.7 x 75.4. EL ESPESOR de 3 mm si esta inventado, y la holgura de 2 mm tambien:",1,,TBD,si,z_payload_bandeja,"50.0, -46.2, -141.0",,,"Material, espesor y patron de taladros de la placa, del analisis estructural y termico",Equipo de estructura de ACSAR
OPT-01,laser_dfb_1550,"Laser DFB 1550 nm, Gooch & Housego (modulo validado para espacio)",payload_bandeja,bandeja_optica,"Gooch & Housego, modulo DFB 1550 nm ESCC-23201",aproximado propio: caja,referencia,37.4 x 12.7 x 7.8,https://www.phix.com/wp-content/uploads/2025/10/PHIX-BTF14-Design-Guidelines.pdf,1,,TBD,si,z_payload_bandeja,"13.8, -40.8, -153.1","pines_btf14(electrico, supuesto); pines_btf14_b(electrico, supuesto)",fibra_laser_dfb_1550_salida,"Plano mecanico del modulo G&H ESCC-23201 y, sobre todo, el disipador o la interfaz termica que necesitan sus 4.1 W.",Gooch & Housego / Equipo termico de ACSAR
OPT-02,mod_intensidad_mxer_ln_10,"Exail MXER-LN-10 (modulador de intensidad, grado espacial EM/NS-FM/FM)",payload_bandeja,bandeja_optica,"Exail MXER-LN-10, encapsulado de grado espacial EM/NS-FM/FM",aproximado propio: caja,confirmado,110.0 x 15.0 x 9.7,https://www.exail.com/media-file/7854/exail-datasheet-em-ns-fm-fm-mxer-ln-10-space-grade-components.pdf,1,,TBD,si,z_payload_franja,"97.7, -28.0, 18.7","rf(coaxial, supuesto); fibra_entrada(fibra, supuesto); fibra_salida(fibra, supuesto)",fibra_mod_intensidad_mxer_ln_10_entrada; coaxial_mod_intensidad_mxer_ln_10,,
OPT-03,mod_fase_mpz_ln_10,"Exail MPZ-LN-10 (modulador de fase, codificador de polarizacion)",payload_bandeja,bandeja_optica,Exail MPZ-LN-10 (grado espacial sin ficha publica),aproximado propio: caja,referencia,110.0 x 15.0 x 9.7,https://www.exail.com/media-file/7855/exail-datasheet-em-ns-fm-fm-nir-mpx-ln-01-space-grade-components.pdf,1,,TBD,si,z_payload_franja,"95.6, 5.0, 106.7","rf(coaxial, supuesto); fibra_entrada(fibra, supuesto); fibra_salida(fibra, supuesto)",fibra_mod_fase_mpz_ln_10_entrada; coaxial_mod_fase_mpz_ln_10,,
OPT-04,voa,Atenuador optico variable (VOA),payload_bandeja,bandeja_optica,,aproximado propio: cilindro,supuesto,35.0 x 5.5 x 5.5,"SUPUESTO. Encapsulado cilindrico en linea tipico de los componentes pasivos de fibra de telecomunicaciones (del orden de 5.5 mm de diametro por 35-40 mm de cuerpo). NO es ningun producto: no hay candidato elegido, asi que no hay ficha que copiar. Sirve para reservar un volumen del orden correcto en ",1,,TBD,si,z_payload_franja,"97.7, 28.2, 39.2",,fibra_voa_entrada; fibra_voa_salida,Modelo de VOA elegido y su envolvente,Equipo de payload de ACSAR
OPT-04-ALT,atenuador_fijo,Atenuador fijo calibrado en tierra (alternativa al VOA),payload_bandeja,bandeja_optica,,aproximado propio: cilindro,supuesto,25.0 x 5.5 x 5.5,"SUPUESTO. Encapsulado cilindrico en linea de un atenuador FIJO, que es mas corto que el variable porque no lleva ni actuador ni electronica: solo el elemento atenuante y los dos empalmes. NO es ningun producto. Se declara para que la alternativa se pueda comparar en volumen, no para dibujarla: al se",1,,TBD,no,,,,,Modelo de atenuador fijo elegido y su envolvente,Equipo de payload de ACSAR
OPT-05,aislador,Aislador optico,payload_bandeja,bandeja_optica,,aproximado propio: cilindro,supuesto,35.0 x 5.5 x 5.5,"SUPUESTO. Encapsulado cilindrico en linea tipico de los componentes pasivos de fibra de telecomunicaciones (del orden de 5.5 mm de diametro por 35-40 mm de cuerpo). NO es ningun producto: no hay candidato elegido, asi que no hay ficha que copiar. Sirve para reservar un volumen del orden correcto en ",1,,TBD,si,z_payload_bandeja,"12.6, -42.0, -120.7",,fibra_aislador_entrada; fibra_aislador_salida,Modelo de aislador elegido y su envolvente,Equipo de payload de ACSAR
OPT-06,filtro_espectral,Filtro espectral,payload_bandeja,bandeja_optica,,aproximado propio: cilindro,supuesto,40.0 x 5.5 x 5.5,"SUPUESTO. Encapsulado cilindrico en linea tipico de los componentes pasivos de fibra de telecomunicaciones (del orden de 5.5 mm de diametro por 35-40 mm de cuerpo). NO es ningun producto: no hay candidato elegido, asi que no hay ficha que copiar. Sirve para reservar un volumen del orden correcto en ",1,,TBD,si,z_payload_bandeja,"84.8, -42.0, -120.7",,fibra_filtro_espectral_entrada; fibra_filtro_espectral_salida,"Modelo de filtro elegido, su ancho de banda y su envolvente",Equipo de payload de ACSAR
OPT-07,acoplador_monitor,Acoplador 2x2 de monitorizacion + dos fotodiodos,payload_bandeja,bandeja_optica,,aproximado propio: caja,supuesto,60.0 x 20.0 x 12.0,SUPUESTO. Reserva para un acoplador de derivacion 2x2 en linea (tubo de unos 60 mm) mas el encapsulado de DOS fotodiodos InGaAs con su transimpedancia: el de monitorizacion hacia delante y el VIGIA DE TROYA hacia atras. NO es ningun producto: no hay candidato elegido. LOS DOS FOTODIODOS VAN DENTRO D,1,,TBD,si,z_payload_franja,"97.7, 35.5, -16.3",,fibra_acoplador_monitor_entrada,"Modelo de acoplador 2x2 y de los dos fotodiodos, y si van en la bandeja o montados en PCB-2",Equipo de payload de ACSAR
ELEC-01,pcb1_control_qkd,"PCB-1 Control QKD (FPGA, QRNG, memoria, reloj)",payload_pcb,control_qkd,,aproximado propio: caja,supuesto,95.89 x 90.17 x 15.0,"SUPUESTO en la altura. El CONTORNO si sale del catalogo: es el contorno PC104 comun a la gama AAC que usa CLAU (integracion.pila_pc104.contorno, 95.89 x 90.17 mm), y esta PROPUESTO, no confirmado. La ALTURA, 15.0 mm, esta inventada: es la posicion de separador PC/104 (15.24 mm) menos holgura, o sea ",1,,TBD,si,z_plataforma,"-60.9, 0.0, -9.8",,,"Altura real de la tarjeta, que la fija el componente mas alto (la FPGA y su disipador, si lleva). Y confirmar el contorno PC104.",Equipo de electronica de ACSAR
ELEC-02,pcb2_drivers_opticos,PCB-2 Drivers opticos,payload_pcb,drivers_opticos,,aproximado propio: caja,supuesto,95.89 x 90.17 x 15.0,"SUPUESTO en la altura. El CONTORNO si sale del catalogo: es el contorno PC104 comun a la gama AAC que usa CLAU (integracion.pila_pc104.contorno, 95.89 x 90.17 mm), y esta PROPUESTO, no confirmado. La ALTURA, 15.0 mm, esta inventada: es la posicion de separador PC/104 (15.24 mm) menos holgura, o sea ",1,,TBD,si,z_plataforma,"-60.9, 0.0, -25.0",,,Altura real de la tarjeta. Los drivers RF y el del Peltier son los candidatos a componente mas alto. Y confirmar el contorno PC104.,Equipo de electronica de ACSAR
ELEC-03,pcb3_pat,"PCB-3 PAT (apuntado, adquisicion y seguimiento)",payload_pcb,pat,,aproximado propio: caja,supuesto,95.89 x 90.17 x 15.0,"SUPUESTO en la altura. El CONTORNO si sale del catalogo: es el contorno PC104 comun a la gama AAC que usa CLAU (integracion.pila_pc104.contorno, 95.89 x 90.17 mm), y esta PROPUESTO, no confirmado. La ALTURA, 15.0 mm, esta inventada: es la posicion de separador PC/104 (15.24 mm) menos holgura, o sea ",1,,TBD,si,z_plataforma,"-60.9, 0.0, 5.4",,,"Altura real de la tarjeta, y si el driver del FSM es de alta tension (un driver piezo de 120 V ocupa bastante mas que uno de MEMS). Es el mismo dato que bloquea la eleccion del FSM. Y confirmar el contorno.",Equipo de electronica de ACSAR
ELEC-04,cables_rf_moduladores,Coaxiales RF de PCB-2 a los dos moduladores,payload_pcb,drivers_opticos,,sin geometria,TBD,,,2,,TBD,no,,,,,"Un cable no tiene envolvente hasta que se encamina. Lo que hace falta es el diametro del coaxial elegido y su radio minimo de curvatura; con esos dos, el recorrido se dibuja como KEEP-OUT entre PCB-2 y cada modulador, no como un cuerpo.",Equipo de electronica de ACSAR
ELEC-01.1,qrng_idq20mc1_s3,QRNG ID Quantique IDQ20MC1-S3,payload_pcb,control_qkd,ID Quantique IDQ20MC1-S3,aproximado propio: caja,confirmado,4.2 x 5.0 x 1.1,Brief ACSAR 2026-09-19 (cita ficha ID Quantique IDQ20MC1-S3),4,,TBD,no,,,,,,
